# KETCHIKAN_AIRPORT
# Cumulative thawing degree days starting March 1 from ACIS, gaps filled from climatology
# Excluded years (more than 10 days of missing data): 1981, 1982, 1985, 1986, 1987, 1988
#
d_since_march1,1980,1983,1984,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
63,557.54,716.65,689.50,582.00,698.82,520.50,633.50,612.50,784.00,706.00,595.50,502.23,602.50,456.50,575.00,511.50,328.00,555.50,637.50,708.00,404.00,477.00,416.00,460.00,615.00,492.50,509.50,497.00,618.00,735.50,878.50,540.01,639.50,684.00,548.00,548.00,582.50
64,571.04,729.15,699.50,597.50,712.82,538.00,649.00,626.50,803.00,726.50,613.00,517.73,622.50,462.00,589.50,521.00,337.50,564.50,654.00,725.00,418.50,487.50,425.00,474.00,628.50,503.00,520.50,516.50,635.50,755.00,891.00,551.51,656.00,701.00,566.50,561.50,596.50
65,596.54,743.15,712.00,610.50,724.82,555.50,659.50,639.00,818.50,745.50,623.00,531.23,642.50,469.00,601.00,530.00,345.00,575.00,669.50,745.50,431.50,495.50,436.50,495.00,644.00,515.00,533.00,535.50,651.50,776.50,905.50,570.51,674.00,719.50,582.50,578.00,607.50
66,614.54,758.15,726.50,628.00,737.82,570.50,670.50,653.50,832.00,764.50,634.50,546.73,656.50,481.00,613.50,538.50,352.50,585.50,683.50,766.50,443.00,507.50,448.00,508.00,658.00,528.50,545.00,556.50,670.00,797.50,923.00,584.01,696.00,735.00,597.50,598.00,619.00
67,631.04,774.15,743.00,645.00,754.32,585.00,679.50,669.00,844.50,787.50,644.50,559.23,668.00,489.50,626.50,551.00,364.00,599.00,701.00,786.50,452.50,519.00,461.50,524.00,672.00,548.00,558.00,578.00,686.00,816.00,938.50,597.01,717.50,750.50,616.00,611.00,633.50
68,645.54,789.65,758.95,662.50,774.32,602.00,693.50,683.50,864.00,812.00,655.00,571.23,681.50,497.00,638.50,563.50,373.00,619.50,718.00,806.50,463.00,529.50,470.50,540.50,690.00,563.00,568.50,601.00,704.00,840.00,956.50,612.01,741.50,771.50,637.50,624.00,653.50
69,659.04,803.15,774.45,675.50,794.82,615.50,708.50,696.50,880.00,834.50,666.00,585.73,695.00,507.00,654.00,573.50,383.00,638.50,733.00,828.50,472.50,542.00,478.50,554.50,705.00,577.50,576.50,618.50,729.50,863.00,977.00,625.01,759.50,796.50,667.00,639.50,673.00
70,682.04,821.15,789.45,686.50,817.32,631.00,724.00,712.50,897.00,851.00,677.00,604.73,708.00,517.50,674.00,583.50,396.50,658.00,753.00,852.50,485.50,555.50,491.50,568.00,720.50,589.00,586.00,636.50,751.50,881.00,999.50,641.51,780.00,821.00,694.50,651.50,683.00
71,707.04,843.65,804.45,701.50,836.82,646.00,741.00,734.00,914.50,866.50,692.50,627.23,722.50,529.50,693.50,598.00,408.50,676.00,772.50,872.00,493.50,567.50,503.50,584.50,733.50,600.50,598.50,654.00,769.50,900.00,1025.00,663.01,798.50,841.50,718.50,667.50,695.00
72,732.54,865.15,823.95,716.50,850.82,660.50,759.50,760.00,931.00,888.50,713.00,650.73,738.00,539.50,705.00,611.00,425.00,690.00,794.50,889.00,503.00,578.50,515.00,599.50,750.00,612.00,609.50,672.00,787.50,920.50,1052.00,680.51,821.00,860.00,741.00,687.50,707.00
73,752.04,887.65,837.95,735.00,870.32,676.50,776.00,787.50,946.50,909.50,729.50,677.23,750.50,550.50,722.00,623.00,434.00,699.00,813.00,909.00,512.50,590.50,530.50,614.50,765.00,626.50,621.50,687.00,807.50,943.50,1080.50,695.01,848.50,878.00,760.00,705.50,718.50
74,766.54,907.65,856.95,753.00,890.32,691.50,795.50,812.00,961.00,929.50,743.00,696.73,766.50,568.00,739.50,637.00,445.00,708.00,832.00,930.50,523.00,607.50,545.50,629.00,780.50,648.00,636.50,702.00,825.00,967.50,1109.50,708.51,869.00,895.00,782.00,721.00,733.50
75,786.04,928.15,874.95,768.00,908.82,708.00,815.50,832.00,982.00,949.50,755.50,710.23,786.50,585.00,757.00,649.50,457.50,717.00,850.00,948.50,539.50,630.00,562.50,643.50,795.00,675.00,650.00,718.00,848.50,992.00,1129.00,723.51,890.00,916.00,803.00,737.50,747.00
