# JUNEAU_AIRPORT
# Cumulative thawing degree days starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
57,373.00,395.50,198.50,379.50,525.00,292.50,258.50,371.50,419.50,336.00,431.00,318.00,401.50,463.50,447.50,342.50,321.00,314.00,403.00,283.50,340.00,335.50,162.50,351.50,324.00,465.50,254.50,225.50,276.00,197.00,399.50,242.50,328.50,171.00,293.50,429.50,592.50,346.00,285.00,492.00,263.50,286.00,330.50
58,386.00,411.50,208.00,396.50,537.50,299.00,270.00,383.00,437.00,354.00,445.50,330.50,414.50,481.50,463.00,360.00,334.00,326.00,416.00,292.50,353.50,346.50,173.50,368.50,335.00,492.00,262.00,230.50,282.00,211.50,415.50,252.50,341.00,171.00,308.00,445.00,605.50,354.50,297.00,504.00,276.50,295.00,341.00
59,397.00,427.50,216.00,412.50,555.00,303.00,283.00,399.00,449.50,372.50,458.00,345.50,425.50,495.50,479.50,381.00,345.50,336.50,431.50,302.00,364.50,356.50,185.50,386.50,347.00,515.00,268.00,239.00,292.50,227.00,428.50,261.50,350.00,171.00,321.50,456.00,617.00,367.50,307.00,517.00,288.50,306.50,351.50
60,410.00,441.50,225.00,426.50,568.00,311.00,297.00,418.50,462.50,395.00,470.00,360.50,435.00,509.50,494.50,401.50,356.00,348.00,450.00,316.00,376.50,369.50,199.50,405.00,362.50,535.50,273.00,247.50,303.00,242.00,441.00,270.00,359.50,171.50,336.00,466.50,630.00,378.50,316.50,531.00,299.50,318.50,363.50
61,421.50,456.00,233.00,446.50,580.00,324.00,312.50,435.00,475.50,418.00,483.50,373.00,445.50,523.50,511.50,421.50,368.00,360.00,469.50,323.00,389.00,381.50,208.00,419.50,380.00,553.00,280.50,258.50,310.50,259.50,452.50,279.50,369.50,178.50,355.50,480.00,643.50,389.00,327.50,549.50,313.00,331.50,379.50
62,431.50,476.50,243.00,457.50,590.00,338.50,330.50,449.50,489.50,438.00,497.50,387.00,458.00,536.50,527.50,441.00,382.50,374.00,483.00,328.00,403.50,388.50,213.50,429.50,399.00,571.50,288.50,274.50,326.50,281.50,460.00,293.50,380.00,189.50,383.50,493.50,659.50,403.00,337.50,564.50,330.50,343.00,391.50
63,443.50,497.00,252.50,468.00,602.00,355.00,346.50,463.00,502.50,454.50,511.50,405.00,470.00,550.00,542.50,461.00,398.00,391.00,500.00,333.00,415.50,397.00,217.00,438.50,419.50,589.00,298.00,283.50,335.00,296.50,468.50,304.00,390.50,202.50,403.00,507.50,675.50,415.00,345.50,579.00,348.50,355.50,402.50
64,458.50,514.00,262.50,479.50,613.50,370.00,361.00,473.00,515.50,470.00,522.00,424.50,481.50,563.00,555.00,479.50,411.50,409.00,516.50,339.50,429.50,404.50,221.00,445.50,437.00,607.00,310.50,295.50,343.50,308.50,483.50,313.00,399.50,218.00,419.50,524.50,687.50,427.50,358.50,590.50,363.50,368.00,414.00
65,476.50,529.50,272.50,492.00,627.00,378.00,376.00,486.00,531.00,487.50,534.00,439.50,491.50,578.50,565.00,494.00,424.50,425.50,530.50,350.50,444.50,410.00,225.50,454.00,453.00,623.00,321.00,307.00,355.00,324.50,498.00,325.00,409.50,232.00,435.00,539.50,699.00,440.00,374.00,603.00,375.50,383.00,423.50
66,493.50,552.50,284.00,508.50,643.00,390.50,389.50,500.00,549.50,504.00,553.50,456.50,502.50,592.50,579.00,509.00,434.50,441.50,544.00,365.50,459.50,422.50,233.00,465.00,470.00,643.00,332.50,315.50,366.50,339.00,512.50,339.00,419.50,243.00,451.00,553.50,714.00,454.50,391.50,615.00,388.50,401.50,431.50
