# Cumulative DD25 averaged for Gulkana River nr Gakona
# Sites: TALKEETNA_AP, NENANA_MUN_AP, NORTHWAY_AP, CHICKEN
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
56,332.75,222.50,170.00,274.25,335.50,142.00,116.50,276.75,280.25,280.00,342.25,265.00,237.50,325.50,358.25,355.75,284.25,228.50,331.33,212.33,212.17,218.25,87.50,285.90,264.25,235.75,137.50,256.75,192.23,139.00,231.81,152.00,279.50,52.38,223.00,314.75,452.00,237.83,184.88,434.62,244.38,207.13,181.00,97.50,239.77
57,349.00,236.50,185.50,292.75,349.00,155.00,129.75,286.50,298.75,300.25,357.50,280.75,250.50,344.75,377.25,374.75,298.75,246.25,343.33,218.83,225.17,228.88,102.83,313.06,278.12,258.38,145.12,272.25,206.61,158.12,252.81,166.25,293.62,54.38,239.00,331.12,471.12,255.00,194.88,444.75,253.62,218.88,196.00,106.50,253.40
58,363.75,250.50,198.00,308.00,367.75,165.50,144.75,298.00,316.75,319.50,373.50,295.00,262.50,362.25,393.00,389.25,312.25,262.50,355.33,231.33,239.00,239.12,118.67,336.73,291.75,282.50,153.75,285.75,221.36,177.38,275.18,181.12,309.75,55.75,255.00,347.88,488.88,270.83,203.62,457.62,264.75,230.50,208.38,116.50,267.36
59,378.75,265.75,209.25,324.00,385.50,176.50,159.75,314.75,332.50,337.75,388.50,311.50,276.00,376.25,409.25,406.50,326.25,280.00,367.50,242.00,253.33,247.25,137.83,359.56,309.38,307.62,159.50,298.50,235.73,199.38,298.06,194.88,324.38,57.50,270.75,363.00,507.12,286.17,215.88,473.38,275.25,244.13,222.12,130.33,282.02
60,394.00,282.25,216.50,339.75,403.00,190.00,174.50,332.50,344.00,356.25,405.50,328.75,287.00,393.75,425.50,428.25,342.00,296.00,380.17,252.83,265.50,255.62,159.00,376.90,332.13,331.00,166.62,313.75,247.73,222.50,315.56,209.62,339.88,61.38,289.00,376.00,522.25,300.83,230.88,495.00,284.50,256.25,236.50,145.83,297.01
61,410.50,298.50,224.50,353.75,418.50,199.50,192.50,350.50,355.25,377.50,422.00,342.75,297.00,410.50,440.75,451.50,358.25,312.00,393.17,258.33,280.83,265.88,174.50,392.56,357.26,351.12,176.62,328.62,259.48,244.33,330.18,224.75,348.25,65.50,309.62,391.12,541.50,315.33,245.62,517.50,297.25,267.50,252.75,160.00,312.04
62,427.75,313.50,231.50,367.75,432.25,211.00,209.50,369.50,369.75,396.75,439.00,356.00,304.25,428.75,458.25,476.25,371.50,328.50,408.67,263.33,295.17,272.62,178.83,408.56,374.51,370.00,189.62,345.25,278.73,269.95,345.56,239.25,351.62,72.38,334.12,406.75,560.50,331.00,255.88,536.25,310.88,280.88,269.62,173.83,326.80
63,442.75,331.25,244.00,382.75,446.00,225.00,223.25,386.25,385.75,417.00,453.25,375.50,308.75,444.75,476.00,498.75,386.50,347.25,420.50,272.33,311.33,279.00,184.50,422.06,392.38,389.25,204.00,364.50,296.36,293.95,362.18,253.25,358.88,81.25,360.00,423.38,578.88,351.33,266.62,550.38,330.12,299.00,285.12,183.17,342.12
64,458.75,350.25,255.00,398.50,460.75,239.00,236.75,403.25,400.75,436.25,469.25,395.25,313.75,462.00,490.50,519.50,405.25,366.50,434.33,281.50,326.00,286.38,189.67,435.73,413.63,409.25,221.16,385.25,314.23,315.33,377.68,267.38,369.88,88.75,384.25,440.12,595.88,368.00,281.12,564.88,350.75,321.13,301.75,193.67,357.78
65,478.50,369.50,266.75,412.25,474.50,252.50,250.75,420.75,420.50,452.25,485.50,415.50,322.25,479.75,510.00,541.00,426.25,384.75,448.50,290.17,339.33,296.12,195.00,450.06,435.13,426.49,237.91,401.62,332.36,332.95,392.18,282.88,384.75,94.12,406.00,458.50,613.50,384.33,296.62,578.50,369.62,338.75,318.12,206.17,373.45
