# Cumulative DD25 averaged for Kuskokwim River at Bethel
# Sites: MCGRATH_AP, CHICKEN, BETHEL_AP, NENANA_MUN_AP
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
59,295.25,341.50,166.75,185.75,179.49,30.00,111.25,201.25,244.75,205.50,351.00,262.25,214.19,391.00,270.75,318.60,282.50,294.00,358.33,196.99,193.88,185.75,138.54,262.90,306.13,201.12,91.38,322.25,174.38,173.88,224.06,158.38,242.62,46.75,271.50,315.62,446.38,257.12,221.00,394.88,277.62,221.42,209.00,97.56,
60,309.25,353.25,170.75,199.25,196.16,33.50,122.75,217.50,255.50,223.00,363.25,280.00,218.69,408.25,285.00,338.94,289.75,313.50,367.50,206.12,207.88,193.38,156.79,282.06,329.76,223.75,96.76,337.88,181.38,197.00,241.06,173.62,253.00,50.12,290.62,330.25,463.25,272.62,234.62,415.25,285.75,229.42,223.38,111.47,
61,322.25,363.25,172.50,211.50,205.66,39.00,136.50,236.75,269.50,237.50,376.75,296.75,219.86,423.50,299.25,359.44,299.75,331.75,380.33,210.24,221.50,197.62,170.17,297.40,355.38,245.50,104.38,352.88,187.12,220.75,253.31,188.00,258.62,51.88,310.50,344.75,483.88,290.25,246.38,437.12,296.00,238.29,240.00,124.71,
62,336.50,374.25,172.50,223.25,208.33,47.75,150.00,252.50,286.00,253.50,386.75,313.50,219.86,437.00,316.00,384.77,309.25,351.00,390.33,214.87,234.50,199.50,176.67,315.73,376.76,266.62,117.01,370.88,201.75,245.12,264.68,203.12,261.38,55.62,334.25,360.25,502.12,307.50,257.12,454.50,309.75,252.29,256.12,136.88,
63,352.75,385.50,175.25,235.25,208.33,58.25,163.25,267.00,301.50,267.75,394.25,330.00,219.86,454.00,328.75,408.10,323.00,369.50,400.33,220.74,245.62,201.38,184.42,331.23,396.26,284.62,130.38,391.12,217.62,265.50,277.31,216.25,266.25,60.38,358.88,376.88,521.88,325.62,269.38,467.75,326.38,270.17,270.38,144.71,
64,372.00,401.25,183.50,247.00,212.16,65.75,173.25,282.00,315.75,280.50,401.75,346.50,219.86,472.00,342.50,426.44,340.50,388.75,413.33,227.12,256.00,204.38,190.67,344.40,418.38,301.62,145.91,411.62,235.62,283.00,289.43,229.50,274.38,64.38,378.38,394.88,539.38,340.88,283.62,481.00,344.62,289.54,284.38,153.21,
65,392.00,419.00,194.00,259.75,220.83,75.50,185.50,295.75,331.00,294.00,416.00,367.00,220.02,490.75,361.25,445.10,359.25,410.00,428.50,232.24,266.12,211.38,201.29,356.56,441.38,317.61,162.16,427.38,253.25,296.25,301.56,244.38,287.62,66.38,393.88,414.75,558.12,358.88,298.50,494.75,363.62,307.67,300.38,164.71,
66,413.50,440.75,208.75,274.25,230.83,88.00,201.75,311.25,346.50,310.00,433.25,390.00,225.52,507.75,378.25,467.60,379.00,430.50,443.67,242.37,279.12,217.62,212.54,369.73,465.76,339.07,175.91,442.00,270.38,308.88,319.43,254.50,302.62,70.75,409.25,434.88,579.75,380.50,311.50,510.50,385.38,326.42,316.00,174.88,
67,433.50,466.25,226.00,289.75,241.83,97.75,218.00,329.25,363.75,321.75,450.00,409.75,236.19,519.25,394.50,490.44,394.50,449.75,458.83,250.87,294.75,227.62,225.92,385.56,487.76,362.45,187.54,455.38,288.00,322.88,338.06,264.00,317.88,76.12,425.75,456.00,601.62,403.88,324.75,530.75,408.50,347.67,328.50,187.21,
68,454.75,495.00,243.00,307.75,254.16,105.25,226.50,344.25,388.25,324.25,468.75,426.50,243.36,525.75,410.25,515.10,411.00,468.25,474.50,262.12,308.75,237.88,241.79,402.90,503.01,386.57,200.91,469.50,304.50,337.38,355.81,276.62,331.12,84.25,442.25,475.75,622.12,427.62,343.25,552.00,435.12,366.54,340.38,201.88,
69,476.75,520.00,258.00,326.75,265.83,111.00,236.00,358.00,411.00,336.00,490.50,447.25,249.36,535.25,429.25,543.10,431.75,487.75,491.83,276.49,316.38,246.75,257.29,420.73,517.71,414.20,215.16,486.50,322.50,351.50,371.06,291.38,345.12,98.00,462.12,500.25,643.12,450.38,365.38,574.00,461.88,388.54,353.12,217.54,
